=== ANÁLISIS LÉXICO ===
TOKEN			LEXEMA		LINEA		COLUMNA
----------------------------------------
LET                      	let            	1	1
INT                      	int            	1	5
IDENTIFIER               	x              	1	9
ASSIGN                   	=              	1	11
INT_LITERAL              	5              	1	13
DELIMITER                	$              	1	14
LET                      	let            	2	1
FLOAT                    	float          	2	5
IDENTIFIER               	pi             	2	11
DELIMITER                	$              	2	13
LET                      	let            	3	1
BOOL                     	bool           	3	5
IDENTIFIER               	activo         	3	10
ASSIGN                   	=              	3	17
BOOL_LITERAL             	True           	3	19
DELIMITER                	$              	3	23
LET                      	let            	4	1
CHAR                     	char           	4	5
IDENTIFIER               	letra          	4	10
ASSIGN                   	=              	4	16
CHAR_LITERAL             	'A'            	4	18
DELIMITER                	$              	4	21
LET                      	let            	5	1
STRING                   	string         	5	5
IDENTIFIER               	nombre         	5	12
ASSIGN                   	=              	5	19
STRING_LITERAL           	"Juan"         	5	21
DELIMITER                	$              	5	27
VOID                     	void           	6	1
PRINCIPAL                	principal      	6	6
LEFT_PAREN               	є              	6	16
RIGHT_PAREN              	э              	6	18
LEFT_BLOCK               	¿              	6	20
LET                      	let            	7	5
INT                      	int            	7	9
IDENTIFIER               	y              	7	13
ASSIGN                   	=              	7	15
INT_LITERAL              	10             	7	17
DELIMITER                	$              	7	19
LET                      	let            	8	5
INT                      	int            	8	9
IDENTIFIER               	z              	8	13
ASSIGN                   	=              	8	15
IDENTIFIER               	x              	8	17
PLUS_OPERATOR            	+              	8	19
IDENTIFIER               	y              	8	21
DELIMITER                	$              	8	22
OUTPUT                   	output         	10	5
IDENTIFIER               	x              	10	12
DELIMITER                	$              	10	13
OUTPUT                   	output         	11	5
IDENTIFIER               	z              	11	12
DELIMITER                	$              	11	13
DECIDE_OF                	decide of      	13	5
LEFT_PAREN               	є              	13	15
IDENTIFIER               	x              	13	17
GREATER                  	>              	13	19
INT_LITERAL              	5              	13	21
RIGHT_PAREN              	э              	13	23
LEFT_BLOCK               	¿              	13	25
OUTPUT                   	output         	14	9
IDENTIFIER               	x              	14	16
DELIMITER                	$              	14	17
RIGHT_BLOCK              	?              	15	5
ELIF                     	elif           	15	7
LEFT_PAREN               	є              	15	12
IDENTIFIER               	x              	15	14
EQUAL                    	==             	15	16
INT_LITERAL              	5              	15	19
RIGHT_PAREN              	э              	15	21
LEFT_BLOCK               	¿              	15	23
OUTPUT                   	output         	16	9
IDENTIFIER               	y              	16	16
DELIMITER                	$              	16	17
RIGHT_BLOCK              	?              	17	5
ELSE                     	else           	17	7
LEFT_BLOCK               	¿              	17	12
OUTPUT                   	output         	18	9
IDENTIFIER               	z              	18	16
DELIMITER                	$              	18	17
RIGHT_BLOCK              	?              	19	5
LOOP                     	loop           	21	5
LET                      	let            	22	9
INT                      	int            	22	13
IDENTIFIER               	contador       	22	17
ASSIGN                   	=              	22	26
INT_LITERAL              	0              	22	28
DELIMITER                	$              	22	29
EXIT_WHEN                	exit when      	23	9
LEFT_PAREN               	є              	23	19
IDENTIFIER               	contador       	23	21
GREATER                  	>              	23	30
INT_LITERAL              	10             	23	32
RIGHT_PAREN              	э              	23	35
DELIMITER                	$              	23	36
END_LOOP$                	end loop$      	24	5
FOR                      	for            	27	5
LEFT_PAREN               	є              	27	9
LET                      	let            	27	11
INT                      	int            	27	15
IDENTIFIER               	i              	27	19
ASSIGN                   	=              	27	21
INT_LITERAL              	0              	27	23
DELIMITER                	$              	27	24
STEP                     	step           	27	26
INT_LITERAL              	1              	27	31
TO                       	to             	27	33
INT_LITERAL              	10             	27	36
RIGHT_PAREN              	э              	27	39
DO                       	do             	27	41
LEFT_BLOCK               	¿              	27	44
OUTPUT                   	output         	28	9
IDENTIFIER               	i              	28	16
DELIMITER                	$              	28	17
RIGHT_BLOCK              	?              	29	5
LET                      	let            	31	5
INT                      	int            	31	9
IDENTIFIER               	volatil        	31	13
ASSIGN                   	=              	31	21
IDENTIFIER               	x              	31	23
LEFT_PAREN               	є              	31	24
INT_LITERAL              	3              	31	25
COMMA                    	,              	31	26
FLOAT_LITERAL            	3.5            	31	28
RIGHT_PAREN              	э              	31	31
DELIMITER                	$              	31	32
RIGHT_BLOCK              	?              	32	1
INT                      	int            	35	1
IDENTIFIER               	x              	35	5
LEFT_PAREN               	є              	35	7
INT                      	int            	35	9
IDENTIFIER               	a              	35	13
COMMA                    	,              	35	14
FLOAT                    	float          	35	16
IDENTIFIER               	f              	35	22
RIGHT_PAREN              	э              	35	24
LEFT_BLOCK               	¿              	35	25
RETURN                   	return         	36	5
IDENTIFIER               	a              	36	12
PLUS_OPERATOR            	+              	36	14
IDENTIFIER               	f              	36	16
DELIMITER                	$              	36	17
RIGHT_BLOCK              	?              	37	1
----------------------------------------------------------
=== FIN DEL ANÁLISIS ===
✓ Sin errores léxicos
