=== ANÁLISIS LÉXICO ===
TOKEN			LEXEMA		LINEA		COLUMNA
----------------------------------------
LET                      	let            	1	1
INT                      	int            	1	5
IDENTIFIER               	x              	1	9
ASSIGN                   	=              	1	11
INT_LITERAL              	5              	1	13
DELIMITER                	$              	1	14
LET                      	let            	2	1
FLOAT                    	float          	2	5
IDENTIFIER               	pi             	2	11
ASSIGN                   	=              	2	14
DELIMITER                	$              	2	16
LET                      	let            	3	1
BOOL                     	bool           	3	5
IDENTIFIER               	activo         	3	10
ASSIGN                   	=              	3	17
BOOL_LITERAL             	True           	3	19
DELIMITER                	$              	3	23
LET                      	let            	4	1
CHAR                     	char           	4	5
IDENTIFIER               	letra          	4	10
ASSIGN                   	=              	4	16
CHAR_LITERAL             	'A'            	4	18
DELIMITER                	$              	4	21
LET                      	let            	5	1
STRING                   	string         	5	5
IDENTIFIER               	nombre         	5	12
ASSIGN                   	=              	5	19
STRING_LITERAL           	"Juan"         	5	21
DELIMITER                	$              	5	27
VOID                     	void           	7	1
PRINCIPAL                	principal      	7	6
LEFT_PAREN               	є              	7	16
RIGHT_PAREN              	э              	7	18
LEFT_BLOCK               	¿              	7	20
LET                      	let            	8	5
INT                      	int            	8	9
IDENTIFIER               	y              	8	13
ASSIGN                   	=              	8	15
INT_LITERAL              	10             	8	17
DELIMITER                	$              	8	19
LET                      	let            	9	5
INT                      	int            	9	9
IDENTIFIER               	z              	9	13
ASSIGN                   	=              	9	15
IDENTIFIER               	x              	9	17
PLUS_OPERATOR            	+              	9	19
IDENTIFIER               	y              	9	21
DELIMITER                	$              	9	22
OUTPUT                   	output         	11	5
IDENTIFIER               	x              	11	12
DELIMITER                	$              	11	13
OUTPUT                   	output         	12	5
IDENTIFIER               	z              	12	12
DELIMITER                	$              	12	13
DECIDE_OF                	decide of      	14	5
LEFT_PAREN               	є              	14	15
IDENTIFIER               	x              	14	17
GREATER                  	>              	14	19
INT_LITERAL              	5              	14	21
RIGHT_PAREN              	э              	14	23
LEFT_BLOCK               	¿              	14	25
OUTPUT                   	output         	15	9
IDENTIFIER               	x              	15	16
DELIMITER                	$              	15	17
RIGHT_BLOCK              	?              	16	5
ELIF                     	elif           	16	7
LEFT_PAREN               	є              	16	12
IDENTIFIER               	x              	16	14
EQUAL                    	==             	16	16
INT_LITERAL              	5              	16	19
RIGHT_PAREN              	э              	16	21
LEFT_BLOCK               	¿              	16	23
OUTPUT                   	output         	17	9
IDENTIFIER               	y              	17	16
DELIMITER                	$              	17	17
RIGHT_BLOCK              	?              	18	5
ELSE                     	else           	18	7
LEFT_BLOCK               	¿              	18	12
OUTPUT                   	output         	19	9
IDENTIFIER               	z              	19	16
DELIMITER                	$              	19	17
RIGHT_BLOCK              	?              	20	5
LOOP                     	loop           	22	5
LET                      	let            	23	9
INT                      	int            	23	13
IDENTIFIER               	contador       	23	17
ASSIGN                   	=              	23	26
INT_LITERAL              	0              	23	28
DELIMITER                	$              	23	29
EXIT_WHEN                	exit when      	24	9
LEFT_PAREN               	є              	24	19
IDENTIFIER               	contador       	24	21
GREATER                  	>              	24	30
INT_LITERAL              	10             	24	32
RIGHT_PAREN              	э              	24	35
DELIMITER                	$              	24	36
END_LOOP$                	end loop$      	25	5
FOR                      	for            	28	5
LEFT_PAREN               	є              	28	9
LET                      	let            	28	11
INT                      	int            	28	15
IDENTIFIER               	i              	28	19
ASSIGN                   	=              	28	21
INT_LITERAL              	0              	28	23
DELIMITER                	$              	28	24
STEP                     	step           	28	26
INT_LITERAL              	1              	28	31
TO                       	to             	28	33
INT_LITERAL              	10             	28	36
RIGHT_PAREN              	э              	28	39
DO                       	do             	28	41
LEFT_BLOCK               	¿              	28	44
OUTPUT                   	output         	29	9
IDENTIFIER               	i              	29	16
DELIMITER                	$              	29	17
RIGHT_BLOCK              	?              	30	5
RIGHT_BLOCK              	?              	31	1
----------------------------------------------------------
=== FIN DEL ANÁLISIS ===
✓ Sin errores léxicos
